Date,Symbol,Open,High,Low,Close,Adj Close,Volume
04-04-2013,AAPL,15.491429,15.535714,15.1875,15.275714,13.309575,358447600
05-04-2013,AAPL,15.160714,15.176786,14.988571,15.114286,13.168926,383695200
08-04-2013,AAPL,15.173214,15.267857,15.088929,15.221786,13.262589,300829200
09-04-2013,AAPL,15.227143,15.303571,15.098214,15.249286,13.286551,306614000
10-04-2013,AAPL,15.289286,15.609286,15.214643,15.560357,13.557581,375928000
11-04-2013,AAPL,15.49,15.6425,15.4,15.511786,13.515261,328364400
12-04-2013,AAPL,15.505357,15.505357,15.324643,15.35,13.374298,238613200
15-04-2013,AAPL,15.25,15.281786,14.983929,14.994643,13.06468,317520000
16-04-2013,AAPL,15.056071,15.236071,15.020357,15.222857,13.263523,305771200
17-04-2013,AAPL,15.009643,15.021429,14.218214,14.385714,12.534126,945056000
18-04-2013,AAPL,14.463929,14.4925,13.919286,14.001786,12.199613,666299200
19-04-2013,AAPL,13.856071,14.271429,13.753571,13.9475,12.152318,609274400
22-04-2013,AAPL,14.022857,14.364286,13.973929,14.238214,12.405611,429920400
23-04-2013,AAPL,14.428214,14.585,14.243214,14.504643,12.637747,664238400
24-04-2013,AAPL,14.055,14.830357,14.017857,14.480714,12.616899,969651200
25-04-2013,AAPL,14.686786,14.783571,14.535714,14.585,12.707763,384837600
26-04-2013,AAPL,14.636071,14.956071,14.580357,14.9,12.982218,764097600
29-04-2013,AAPL,15.016071,15.486429,15,15.361429,13.384256,640326400
30-04-2013,AAPL,15.539286,15.901786,15.431071,15.813571,13.778204,691538400
01-05-2013,AAPL,15.873571,15.890357,15.513929,15.688929,13.669604,506909200
02-05-2013,AAPL,15.777857,16.02107,15.736786,15.911429,13.863466,421828400
03-05-2013,AAPL,16.118214,16.186787,16.041071,16.070715,14.002252,361300800
06-05-2013,AAPL,16.275356,16.507143,16.225357,16.45393,14.336142,496641600
07-05-2013,AAPL,16.606071,16.633928,16.203571,16.380714,14.272351,483753200
08-05-2013,AAPL,16.394285,16.620358,16.278929,16.565714,14.43354,472598000
09-05-2013,AAPL,16.421785,16.535713,16.270714,16.313213,14.307621,398487600
10-05-2013,AAPL,16.356071,16.418215,16.088572,16.1775,14.188591,334852000
13-05-2013,AAPL,16.125357,16.353571,16.125,16.240713,14.244031,316948800
14-05-2013,AAPL,16.208929,16.257143,15.791071,15.852143,13.903234,447118000
15-05-2013,AAPL,15.684286,15.75,15.084286,15.316071,13.433066,741613600
16-05-2013,AAPL,15.115714,15.6375,14.960714,15.520714,13.612554,603204000
17-05-2013,AAPL,15.680357,15.7175,15.393214,15.473571,13.571203,427904400
20-05-2013,AAPL,15.425357,15.921429,15.360714,15.818929,13.874103,451578400
21-05-2013,AAPL,15.648214,15.91,15.507143,15.702143,13.771674,456022000
22-05-2013,AAPL,15.858929,16.012501,15.650714,15.7625,13.824614,443038400
23-05-2013,AAPL,15.569643,15.934286,15.563929,15.790714,13.84936,353021200
24-05-2013,AAPL,15.744643,15.916429,15.727143,15.898214,13.943641,276166800
28-05-2013,AAPL,16.067858,16.111071,15.744643,15.765714,13.827429,386145200
29-05-2013,AAPL,15.714286,15.982143,15.692857,15.891071,13.937373,330576400
30-05-2013,AAPL,15.916071,16.232143,15.875357,16.127857,14.145053,353519600
31-05-2013,AAPL,16.160713,16.325001,16.053572,16.061787,14.087104,384302800
03-06-2013,AAPL,16.0975,16.155714,15.802857,16.097143,14.118111,372352400
04-06-2013,AAPL,16.186428,16.229643,15.978214,16.046785,14.073943,292728800
05-06-2013,AAPL,15.916071,16.097143,15.846786,15.896786,13.942388,290589600
06-06-2013,AAPL,15.909643,15.964286,15.501786,15.659286,13.734088,416934000
07-06-2013,AAPL,15.589286,15.83,15.456071,15.778929,13.839023,404535600
10-06-2013,AAPL,15.883214,16.03857,15.6,15.674643,13.747554,450153200
11-06-2013,AAPL,15.562143,15.812857,15.475714,15.628571,13.707145,286112400
12-06-2013,AAPL,15.696429,15.758929,15.410714,15.435357,13.53769,265227200
13-06-2013,AAPL,15.446429,15.612143,15.3125,15.57,13.655781,285832400
14-06-2013,AAPL,15.55,15.581786,15.303571,15.358929,13.470655,271866000
17-06-2013,AAPL,15.408571,15.560714,15.37,15.428571,13.53174,259414400
18-06-2013,AAPL,15.412857,15.532143,15.364643,15.420357,13.524531,195025600
19-06-2013,AAPL,15.407143,15.416429,15.107143,15.107143,13.249825,310940000
20-06-2013,AAPL,14.975,15.213571,14.8275,14.887143,13.056873,357310800
21-06-2013,AAPL,14.946071,15,14.575,14.767857,12.952253,481118400
24-06-2013,AAPL,14.55,14.595,14.216071,14.376429,12.608949,480746000
25-06-2013,AAPL,14.489286,14.563929,14.243929,14.379643,12.61177,314162800
26-06-2013,AAPL,14.425,14.456786,14.130714,14.216786,12.468934,367724000
27-06-2013,AAPL,14.258929,14.335357,14.055,14.063571,12.334556,337246000
28-06-2013,AAPL,13.977143,14.295357,13.888214,14.161786,12.420693,578516400
01-07-2013,AAPL,14.381786,14.723929,14.329286,14.615,12.81819,391053600
02-07-2013,AAPL,14.641429,15.058214,14.623929,14.946071,13.108558,469865200
03-07-2013,AAPL,15.030714,15.106429,14.908929,15.028571,13.180915,240928800
05-07-2013,AAPL,15.013929,15.1175,14.833929,14.907857,13.075039,274024800
08-07-2013,AAPL,15.003929,15.035714,14.666071,14.823214,13.000803,298138400
09-07-2013,AAPL,14.771429,15.125,14.656429,15.083929,13.229464,352584400
10-07-2013,AAPL,14.985714,15.171429,14.9375,15.026071,13.17872,281405600
11-07-2013,AAPL,15.105357,15.294643,15.041786,15.260357,13.384203,326292400
12-07-2013,AAPL,15.273214,15.349643,15.121786,15.2325,13.359773,279563200
15-07-2013,AAPL,15.178929,15.409286,15.171429,15.265714,13.388901,241917200
16-07-2013,AAPL,15.232857,15.3825,15.148929,15.364286,13.475355,216538000
17-07-2013,AAPL,15.346429,15.436429,15.293571,15.368214,13.478798,198990400
18-07-2013,AAPL,15.477857,15.531071,15.378929,15.42,13.524218,218878800
19-07-2013,AAPL,15.467857,15.499286,15.155357,15.176786,13.310906,268721600
22-07-2013,AAPL,15.337857,15.348214,15.195357,15.225357,13.353504,207796400
23-07-2013,AAPL,15.214286,15.248571,14.953929,14.963929,13.124218,369395600
24-07-2013,AAPL,15.676071,15.878214,15.545,15.7325,13.7983,591936800
25-07-2013,AAPL,15.739286,15.764286,15.564643,15.660714,13.73534,229493600
26-07-2013,AAPL,15.546429,15.751429,15.512143,15.749643,13.813334,200152400
29-07-2013,AAPL,15.742857,16.071072,15.721429,15.9925,14.026335,248057600
30-07-2013,AAPL,16.07,16.326786,16.043928,16.190001,14.199553,309422400
31-07-2013,AAPL,16.249643,16.33357,16.051071,16.161785,14.174807,322957600
01-08-2013,AAPL,16.276787,16.314285,16.187857,16.309999,14.304804,206250800
02-08-2013,AAPL,16.3575,16.530357,16.309286,16.519285,14.488355,274783600
05-08-2013,AAPL,16.596071,16.809643,16.505358,16.766071,14.704802,318855600
06-08-2013,AAPL,16.715,16.853214,16.506071,16.616072,14.573242,334857600
07-08-2013,AAPL,16.564285,16.678572,16.491785,16.606428,14.564786,298858000
08-08-2013,AAPL,16.566429,16.575001,16.355356,16.464643,14.535778,255777200
09-08-2013,AAPL,16.379999,16.445,16.201786,16.230356,14.328938,266865200
12-08-2013,AAPL,16.316429,16.737499,16.308214,16.691429,14.735995,364434000
13-08-2013,AAPL,16.819286,17.66643,16.71607,17.484644,15.436287,881941200
14-08-2013,AAPL,17.781429,18.008928,17.621429,17.803572,15.717849,756372400
15-08-2013,AAPL,17.729286,17.942858,17.467142,17.782499,15.699243,490294000
16-08-2013,AAPL,17.862499,17.962143,17.816429,17.940357,15.838604,362306000
19-08-2013,AAPL,18.012142,18.347857,18,18.133572,16.009188,510518400
20-08-2013,AAPL,18.20393,18.234644,17.886429,17.895357,15.798882,358688400
21-08-2013,AAPL,17.985357,18.112499,17.9,17.941429,15.839553,335879600
22-08-2013,AAPL,18.035,18.056786,17.792856,17.962856,15.858471,244207600
23-08-2013,AAPL,17.973928,17.976786,17.833929,17.893572,15.797304,222731600
26-08-2013,AAPL,17.883928,18.22143,17.875,17.963215,15.858788,330965600
27-08-2013,AAPL,17.785713,17.946787,17.367857,17.449642,15.405384,424188800
28-08-2013,AAPL,17.357143,17.707144,17.357143,17.532143,15.478218,307608000
29-08-2013,AAPL,17.558929,17.732143,17.540358,17.560715,15.503441,239657600
30-08-2013,AAPL,17.571428,17.605356,17.375,17.400715,15.362188,272297200
03-09-2013,AAPL,17.610714,17.878571,17.405357,17.449286,15.40507,331928800
04-09-2013,AAPL,17.841429,17.937143,17.724285,17.810356,15.723836,345032800
05-09-2013,AAPL,17.866072,17.88143,17.629999,17.688213,15.616,236367600
06-09-2013,AAPL,17.80143,17.834999,17.498215,17.793571,15.70902,359525600
09-09-2013,AAPL,18.035713,18.139999,17.981428,18.077499,15.959684,340687200
10-09-2013,AAPL,18.078571,18.123215,17.482143,17.665714,15.596137,743195600
11-09-2013,AAPL,16.678928,16.9175,16.600357,16.70393,14.747032,898696400
12-09-2013,AAPL,16.732143,16.978571,16.643213,16.881786,14.90405,404051200
13-09-2013,AAPL,16.762142,16.85107,16.59643,16.603571,14.658432,298835600
16-09-2013,AAPL,16.464287,16.486071,15.972143,16.075714,14.192413,543706800
17-09-2013,AAPL,15.998571,16.418215,15.982143,16.261429,14.35637,399380800
18-09-2013,AAPL,16.542143,16.655357,16.452143,16.595715,14.651496,456862000
19-09-2013,AAPL,16.810715,16.993929,16.758928,16.867857,14.891755,404541200
20-09-2013,AAPL,17.071428,17.09107,16.642857,16.693214,14.737571,699302800
23-09-2013,AAPL,17.717857,17.746786,17.235714,17.522858,15.470018,762106800
24-09-2013,AAPL,17.674286,17.695356,17.422144,17.467857,15.421466,364344400
25-09-2013,AAPL,17.47143,17.487143,17.19393,17.1975,15.182782,316957200
26-09-2013,AAPL,17.357143,17.44857,17.282143,17.365,15.330656,237221600
27-09-2013,AAPL,17.277857,17.309643,17.168571,17.241072,15.221245,228040400
30-09-2013,AAPL,17.044643,17.202143,16.943214,17.026787,15.032063,260156400
01-10-2013,AAPL,17.0875,17.469286,17.084999,17.427143,15.385517,353883600
02-10-2013,AAPL,17.343929,17.564285,17.276787,17.484285,15.435966,289184000
03-10-2013,AAPL,17.518213,17.583929,17.169287,17.264643,15.242059,322753200
04-10-2013,AAPL,17.280714,17.307142,17.092857,17.251072,15.230072,258868400
07-10-2013,AAPL,17.377144,17.594643,17.333929,17.419643,15.3789,312292400
08-10-2013,AAPL,17.497856,17.522858,17.162144,17.17643,15.164174,290917200
09-10-2013,AAPL,17.308571,17.42107,17.081429,17.378214,15.342325,301725200
10-10-2013,AAPL,17.547144,17.584999,17.394285,17.487143,15.43849,278602800
11-10-2013,AAPL,17.3925,17.637142,17.327143,17.600357,15.538444,267738800
14-10-2013,AAPL,17.493929,17.770714,17.476786,17.715714,15.640284,261898000
15-10-2013,AAPL,17.768213,17.928572,17.697144,17.809999,15.723524,320073600
16-10-2013,AAPL,17.885357,17.9475,17.829643,17.896786,15.800142,251101200
17-10-2013,AAPL,17.856428,18.027857,17.845715,18.017857,15.907026,253593200
18-10-2013,AAPL,18.071072,18.187857,18.061071,18.174643,16.04545,290542000
21-10-2013,AAPL,18.2775,18.725,18.268572,18.620001,16.438633,398106800
22-10-2013,AAPL,18.800358,18.873215,18.143929,18.566786,16.391649,534063600
23-10-2013,AAPL,18.535713,18.77393,18.535713,18.748571,16.552141,313723200
24-10-2013,AAPL,18.75,19.016787,18.65893,18.996786,16.771271,384764800
25-10-2013,AAPL,18.975714,19.043928,18.753929,18.784286,16.583668,337792000
28-10-2013,AAPL,18.894285,18.964287,18.686071,18.924286,16.70727,550440800
29-10-2013,AAPL,19.1525,19.258928,18.376429,18.452856,16.291067,635807200
30-10-2013,AAPL,18.557501,18.84,18.465,18.746429,16.550247,354163600
31-10-2013,AAPL,18.75,18.838928,18.616785,18.667856,16.480885,275696400
01-11-2013,AAPL,18.715,18.742857,18.422857,18.5725,16.3967,274890000
04-11-2013,AAPL,18.610714,18.815001,18.528929,18.8125,16.608576,244627600
05-11-2013,AAPL,18.735001,18.888929,18.678572,18.766071,16.567595,265213200
06-11-2013,AAPL,18.719643,18.745001,18.507143,18.604286,16.520651,223375600
07-11-2013,AAPL,18.556429,18.685356,18.299286,18.303213,16.253304,262620400
08-11-2013,AAPL,18.377857,18.611786,18.306786,18.591429,16.509233,279316800
11-11-2013,AAPL,18.571072,18.631071,18.371786,18.5375,16.461344,227452400
12-11-2013,AAPL,18.488214,18.71143,18.464287,18.571787,16.491789,204276800
13-11-2013,AAPL,18.5,18.651787,18.462856,18.593929,16.511452,197220800
14-11-2013,AAPL,18.671785,18.902857,18.638214,18.862858,16.750267,282419200
15-11-2013,AAPL,18.806429,18.89607,18.731787,18.749643,16.649733,317920400
18-11-2013,AAPL,18.749643,18.828215,18.507143,18.522499,16.448023,244944000
19-11-2013,AAPL,18.536785,18.692142,18.498928,18.555357,16.477207,208938800
20-11-2013,AAPL,18.543928,18.58643,18.368929,18.392857,16.332901,193916800
21-11-2013,AAPL,18.485714,18.614643,18.345358,18.612143,16.52763,262026800
22-11-2013,AAPL,18.554285,18.648571,18.518929,18.564285,16.485132,223725600
25-11-2013,AAPL,18.607857,18.781071,18.607143,18.705,16.610085,229311600
26-11-2013,AAPL,18.718571,19.147858,18.714287,19.049999,16.916443,401382800
27-11-2013,AAPL,19.153929,19.5,19.049999,19.498571,17.314775,363448400
29-11-2013,AAPL,19.624287,19.940357,19.564644,19.859644,17.63541,318127600
02-12-2013,AAPL,19.928572,20.154642,19.672144,19.686787,17.481916,472544800
03-12-2013,AAPL,19.939285,20.227858,19.917143,20.225714,17.960482,450968000
04-12-2013,AAPL,20.196428,20.328215,20.029285,20.178572,17.918623,377809600
05-12-2013,AAPL,20.451786,20.540714,20.22893,20.282143,18.010599,447580000
06-12-2013,AAPL,20.206785,20.241072,19.984644,20.000713,17.760683,344352400
09-12-2013,AAPL,20.032143,20.342142,20.032143,20.229643,17.963972,320493600
10-12-2013,AAPL,20.127857,20.281429,20.042856,20.198214,17.936064,278269600
11-12-2013,AAPL,20.25,20.391787,19.98893,20.048571,17.803183,359718800
12-12-2013,AAPL,20.076429,20.190714,20.001072,20.019285,17.777176,262290000
13-12-2013,AAPL,20.101786,20.102858,19.77393,19.801071,17.583401,332822000
16-12-2013,AAPL,19.822144,20.094286,19.821787,19.910713,17.680761,282592800
17-12-2013,AAPL,19.850357,19.98,19.763571,19.821072,17.601164,229902400
18-12-2013,AAPL,19.632143,19.694643,19.242857,19.670357,17.467321,565863200
19-12-2013,AAPL,19.625,19.642857,19.418928,19.445,17.267212,320308800
20-12-2013,AAPL,19.479643,19.700357,19.457857,19.607857,17.411829,436413600
23-12-2013,AAPL,20.285713,20.382856,20.098572,20.360357,18.080051,501306400
24-12-2013,AAPL,20.353214,20.424286,20.215357,20.27393,18.003296,167554800
26-12-2013,AAPL,20.289286,20.339287,20.120714,20.139286,17.883736,204008000
27-12-2013,AAPL,20.136429,20.157499,19.982143,20.003214,17.762901,225884400
30-12-2013,AAPL,19.909286,20.003214,19.725714,19.804285,17.58626,253629600
31-12-2013,AAPL,19.791786,20.045713,19.785713,20.036428,17.7924,223084400
02-01-2014,AAPL,19.845715,19.893929,19.715,19.754642,17.542168,234684800
03-01-2014,AAPL,19.745001,19.775,19.301071,19.320715,17.156843,392467600
06-01-2014,AAPL,19.194643,19.52857,19.057142,19.426071,17.250402,412610800
07-01-2014,AAPL,19.440001,19.498571,19.21143,19.287144,17.127033,317209200
08-01-2014,AAPL,19.243214,19.484285,19.23893,19.409286,17.235498,258529600
09-01-2014,AAPL,19.52857,19.530714,19.119642,19.161428,17.015398,279148800
10-01-2014,AAPL,19.279642,19.314285,18.968214,19.033571,16.901861,304976000
13-01-2014,AAPL,18.925358,19.375,18.924286,19.133215,16.990339,378492800
14-01-2014,AAPL,19.222143,19.526072,19.202143,19.513929,17.328419,332561600
15-01-2014,AAPL,19.768572,20.007143,19.702143,19.905714,17.676325,391638800
16-01-2014,AAPL,19.817858,19.887501,19.702856,19.794643,17.577698,229278000
17-01-2014,AAPL,19.695715,19.716785,19.282143,19.309643,17.147011,426739600
21-01-2014,AAPL,19.321072,19.645357,19.300714,19.609644,17.413412,328526800
22-01-2014,AAPL,19.675358,19.903214,19.564644,19.696787,17.490795,379985200
23-01-2014,AAPL,19.640715,19.875,19.4575,19.863571,17.638901,403239200
24-01-2014,AAPL,19.785713,19.843571,19.455357,19.502501,17.31826,429354800
27-01-2014,AAPL,19.645357,19.814285,19.491072,19.660713,17.458761,554878800
28-01-2014,AAPL,18.17,18.392857,17.93107,18.089287,16.063334,1065523200
29-01-2014,AAPL,17.998215,18.120358,17.807858,17.883928,15.880975,502810000
30-01-2014,AAPL,17.947857,18.089287,17.739286,17.849285,15.850207,678501600
31-01-2014,AAPL,17.684999,17.911785,17.626785,17.878571,15.876214,464797200
03-02-2014,AAPL,17.950357,18.133215,17.832144,17.911785,15.905712,401464000
04-02-2014,AAPL,18.066071,18.195,17.955713,18.17107,16.13595,376681200
05-02-2014,AAPL,18.091429,18.402857,18.080357,18.306786,16.256474,328344800
06-02-2014,AAPL,18.216429,18.339287,18.13607,18.303928,16.351233,257765200
07-02-2014,AAPL,18.620714,18.676071,18.477858,18.559999,16.579979,370280400
10-02-2014,AAPL,18.523571,18.999643,18.5,18.8925,16.87701,345559200
11-02-2014,AAPL,18.950357,19.205357,18.910713,19.14143,17.099384,282256800
12-02-2014,AAPL,19.176786,19.27,19.044287,19.139999,17.098106,308100800
13-02-2014,AAPL,19.094999,19.458929,19.078571,19.44393,17.369619,307398000
14-02-2014,AAPL,19.373928,19.499287,19.32893,19.428213,17.355566,272924400
18-02-2014,AAPL,19.5,19.685356,19.486071,19.499643,17.419376,260251600
19-02-2014,AAPL,19.455357,19.531786,19.083929,19.191786,17.144361,313768000
20-02-2014,AAPL,19.035357,19.178572,18.892857,18.969643,16.945921,305858000
21-02-2014,AAPL,19.028214,19.091785,18.735714,18.758928,16.757687,278784800
24-02-2014,AAPL,18.683929,18.925714,18.657858,18.84107,16.831066,288909600
25-02-2014,AAPL,18.906429,18.913214,18.607143,18.645,16.655914,231952000
26-02-2014,AAPL,18.700357,18.75,18.414286,18.476786,16.505644,276217200
27-02-2014,AAPL,18.469286,18.885,18.430357,18.845358,16.834896,301882000
28-02-2014,AAPL,18.895714,19.026787,18.647142,18.794287,16.789268,371968800
03-03-2014,AAPL,18.693571,18.951786,18.671785,18.848572,16.837767,238781200
04-03-2014,AAPL,18.964287,19.022858,18.848928,18.972857,16.948795,259140000
05-03-2014,AAPL,18.96143,19.098213,18.897499,19.012857,16.984529,200062800
06-03-2014,AAPL,19.028214,19.087143,18.860714,18.955357,16.933161,185488800
07-03-2014,AAPL,18.967501,18.999287,18.7875,18.944286,16.923273,220729600
10-03-2014,AAPL,18.870001,19.047501,18.869286,18.96143,16.938585,178584000
11-03-2014,AAPL,19.123215,19.240713,19.02107,19.14607,17.103527,279224400
12-03-2014,AAPL,19.089643,19.191071,19,19.164642,17.120115,199326400
13-03-2014,AAPL,19.194286,19.273571,18.898571,18.951786,16.929972,257742800
14-03-2014,AAPL,18.885357,18.960358,18.678572,18.73893,16.739822,237199200
17-03-2014,AAPL,18.84643,18.9275,18.780357,18.812143,16.805223,199544800
18-03-2014,AAPL,18.782143,18.998928,18.757143,18.978571,16.953899,209647200
19-03-2014,AAPL,19.009287,19.151428,18.892857,18.973572,16.949432,224756000
20-03-2014,AAPL,18.924643,19.02393,18.833929,18.882143,16.867756,208398400
21-03-2014,AAPL,18.997499,19.0625,18.797501,19.031071,17.000799,374046400
24-03-2014,AAPL,19.229286,19.303572,19.109285,19.256786,17.202431,355700800
25-03-2014,AAPL,19.339287,19.491072,19.27107,19.463928,17.387474,282293200
26-03-2014,AAPL,19.518572,19.607143,19.245001,19.277857,17.221256,299768000
27-03-2014,AAPL,19.286428,19.339287,19.111429,19.195,17.14724,222031600
28-03-2014,AAPL,19.225714,19.247856,19.080357,19.173571,17.128092,200564000
31-03-2014,AAPL,19.258215,19.314644,19.140356,19.169287,17.124266,168669200
01-04-2014,AAPL,19.205713,19.352501,19.170357,19.344643,17.280922,200760000
02-04-2014,AAPL,19.370714,19.41,19.295,19.376785,17.309631,180420800
03-04-2014,AAPL,19.335358,19.375,19.201429,19.2425,17.189669,162344000
04-04-2014,AAPL,19.278929,19.285713,18.949286,18.99357,16.967295,275251200
07-04-2014,AAPL,18.857857,18.960714,18.638929,18.695356,16.700897,289850400
08-04-2014,AAPL,18.756786,18.790001,18.525,18.694286,16.699942,243888400
09-04-2014,AAPL,18.665714,18.946072,18.643572,18.940001,16.919447,206169600
10-04-2014,AAPL,18.952856,19.008572,18.684643,18.695715,16.701218,239652000
11-04-2014,AAPL,18.535713,18.672501,18.469286,18.557501,16.577751,271717600
14-04-2014,AAPL,18.639286,18.648571,18.471786,18.63143,16.643793,205674000
15-04-2014,AAPL,18.581072,18.629999,18.261786,18.498571,16.525105,266490000
16-04-2014,AAPL,18.501785,18.610357,18.362143,18.536072,16.558603,214765600
